Designator,Mid X,Mid Y,Rotation,Layer
D1,24.67,-17.448,0.0,top
D10,81.77,-18.148,0.0,top
D11,100.67,-27.148,0.0,top
D12,132.17,-27.148,0.0,top
D13,24.67,-55.448,0.0,top
D14,44.57,-53.248,0.0,top
D15,62.77,-50.848,0.0,top
D16,81.77,-53.048,0.0,top
D17,100.47,-62.248,0.0,top
D18,131.87,-62.248,0.0,top
D19,24.67,-58.548,0.0,top
D2,44.57,-15.148,0.0,top
D20,45.57,-56.248,0.0,top
D21,62.77,-53.948,0.0,top
D22,81.77,-56.248,0.0,top
D23,100.47,-65.448,0.0,top
D24,131.97,-65.448,0.0,top
D26,20.07,-78.748,300.0,top
D27,34.17,-77.448,0.0,top
D28,53.17,-75.248,0.0,top
D29,72.67,-72.258,0.0,top
D3,62.67,-12.748,0.0,top
D30,90.87,-74.758,0.0,top
D4,81.77,-15.048,0.0,top
D5,100.67,-24.248,0.0,top
D6,132.17,-24.048,0.0,top
D7,24.67,-20.548,0.0,top
D8,45.57,-18.148,0.0,top
D9,62.77,-15.948,0.0,top
J1,7.62,-38.862,180.0,top
SW1,30.77,-9.448,0.0,top
SW10,87.77,-25.948,0.0,top
SW11,106.77,-34.848,0.0,top
SW12,125.77,-34.848,0.0,top
SW13,30.77,-47.548,0.0,top
SW14,49.77,-45.048,0.0,top
SW15,68.77,-42.648,0.0,top
SW16,87.77,-45.048,0.0,top
SW17,106.77,-54.048,0.0,top
SW18,125.77,-54.048,0.0,top
SW19,30.77,-66.548,0.0,top
SW2,49.77,-6.948,0.0,top
SW20,49.77,-64.148,0.0,top
SW21,68.77,-61.648,0.0,top
SW22,87.77,-64.148,0.0,top
SW23,106.77,-73.048,0.0,top
SW24,125.82,-73.048,0.0,top
SW25,-4.318,-27.559,90.0,top
SW26,7.013301,-92.857999,300.0,top
SW27,27.87,-87.848,23.0,top
SW28,49.77,-83.248,0.0,top
SW29,68.77,-80.648,0.0,top
SW3,68.77,-4.458,0.0,top
SW30,87.77,-83.148,0.0,top
SW4,87.77,-6.948,0.0,top
SW5,106.77,-15.948,0.0,top
SW6,125.77,-15.948,0.0,top
SW7,30.77,-28.548,0.0,top
SW8,49.77,-26.048,0.0,top
SW9,68.77,-23.548,0.0,top
TH3,39.57,-19.048,0.0,top
TH4,116.07,-25.658,0.0,top
TH5,39.57,-56.958,0.0,top
TH6,116.07,-63.958,0.0,top
TH7,14.07,-80.258,90.0,top
U1,6.985,-0.254,0.0,top
